store_id,company,city,zone,latitude,longitude,State,Week_Start_Date,Week_End_Date,Temperature_Max_Weekly (°C),Temperature_Min_Weekly (°C),Temperature_Avg_Weekly (°C),Humidity_Avg (%),Rainfall_Total (mm),Wind_Speed_Avg (km/h),AQI_Avg,Pressure_Avg (hPa),Cloud_Cover_Avg (%),Road_Closures,Local_Events_Festivals,Political_Rallies_Protests,Heat_Stress_Index_Avg,Wind_Hazard_Score_Avg,Flood_Risk_Index_Max,Days_in_Week,AQI_Category
BLR_ZEP_001,Zepto,Bangalore,Indiranagar 100ft Road,12.9771,77.6409,Karnataka,01-01-2024,07-01-2024,31.9,13.2,23.3,59.4,0,14.7,99,1011.5,37,1,0,0,14.6,2.4,2.4,7,Satisfactory
BLR_ZEP_001,Zepto,Bangalore,Indiranagar 100ft Road,12.9771,77.6409,Karnataka,01-04-2024,07-04-2024,37.5,21.7,28.5,57.1,0,15.7,86,1008.6,46.9,1,1,0,20.9,2.5,2.4,7,Satisfactory
BLR_ZEP_001,Zepto,Bangalore,Indiranagar 100ft Road,12.9771,77.6409,Karnataka,01-07-2024,07-07-2024,30.9,15.7,25.3,77.4,104.1,11.9,65,1003.2,57.3,0,0,0,21.3,1.9,6.9,7,Satisfactory
BLR_ZEP_001,Zepto,Bangalore,Indiranagar 100ft Road,12.9771,77.6409,Karnataka,01-09-2025,07-09-2025,31.8,15.8,24.3,77.7,41.4,14.9,84,1002.7,65.3,1,0,1,17.6,2.4,4,7,Satisfactory
BLR_ZEP_001,Zepto,Bangalore,Indiranagar 100ft Road,12.9771,77.6409,Karnataka,01-12-2025,07-12-2025,30,13.9,21.2,52.2,1.7,7,126,1006.6,47.6,0,0,0,16.6,1.1,2.1,7,Moderate
BLR_ZEP_001,Zepto,Bangalore,Indiranagar 100ft Road,12.9771,77.6409,Karnataka,02-06-2025,08-06-2025,32,17.1,25.5,86,69.6,10.8,70,1013.9,52.1,1,0,0,23.2,1.7,9.4,7,Satisfactory
BLR_ZEP_001,Zepto,Bangalore,Indiranagar 100ft Road,12.9771,77.6409,Karnataka,02-09-2024,08-09-2024,32.2,19.2,25.1,83.5,116.8,13.4,65,1004.8,59,1,0,1,20.5,2.2,5.8,7,Satisfactory
BLR_ZEP_001,Zepto,Bangalore,Indiranagar 100ft Road,12.9771,77.6409,Karnataka,02-12-2024,08-12-2024,29.3,13.1,21.6,49.6,0,13.7,101,1004.8,67.5,1,0,0,12.2,2.2,2,7,Moderate
BLR_ZEP_001,Zepto,Bangalore,Indiranagar 100ft Road,12.9771,77.6409,Karnataka,03-02-2025,09-02-2025,34,12.7,24,52,0,12.1,80,1002,60.2,1,0,0,16.6,1.9,2,7,Satisfactory
BLR_ZEP_001,Zepto,Bangalore,Indiranagar 100ft Road,12.9771,77.6409,Karnataka,03-03-2025,09-03-2025,34.8,18.7,26.9,53.1,0,12.3,93,999.4,77.7,0,0,0,20.5,2,2.5,7,Satisfactory
BLR_ZEP_001,Zepto,Bangalore,Indiranagar 100ft Road,12.9771,77.6409,Karnataka,03-06-2024,09-06-2024,34.2,18.3,26.5,78.9,59.5,14,79,1012.7,52.6,1,0,0,21.8,2.2,5.8,7,Satisfactory
BLR_ZEP_001,Zepto,Bangalore,Indiranagar 100ft Road,12.9771,77.6409,Karnataka,03-11-2025,09-11-2025,31.5,13.4,22.6,48.9,7.1,14.8,88,1006,66.9,1,0,1,12.7,2.4,2,7,Satisfactory
BLR_ZEP_001,Zepto,Bangalore,Indiranagar 100ft Road,12.9771,77.6409,Karnataka,04-03-2024,10-03-2024,34.5,15.9,26.6,53.5,0,14.1,89,1008.3,59.2,0,0,0,18.9,2.3,2.5,7,Satisfactory
