worker_id,date,earnings,hours,deliveries,delivery_timestamp,time_slot,rating,acceptance_rate,cancellations,weekly_variance
W001,09-01-2026,1188,3.6,14,15:10:00,afternoon,4.2,0.82,3,376
W001,10-01-2026,1129,7,16,16:10:00,night,4.4,0.81,4,355
W001,11-01-2026,971,6.7,12,17:10:00,morning,4.22,0.82,4,320
W001,12-01-2026,1365,4,20,18:10:00,night,4.13,0.8,3,416
W001,14-01-2026,200,4.8,5,19:10:00,afternoon,4.02,0.79,3,317
W001,15-01-2026,965,4.6,13,20:10:00,evening,4.48,0.83,4,310
W001,16-01-2026,200,4.2,5,21:10:00,night,4.41,0.83,3,422
W001,18-01-2026,1242,5.7,17,22:10:00,evening,4.38,0.71,4,362
W001,19-01-2026,700,7.2,9,23:10:00,night,4.32,0.84,4,397
W001,22-01-2026,653,5.7,11,00:10:00,evening,4.26,0.77,3,349
W001,23-01-2026,634,6.7,11,01:10:00,evening,4.08,0.83,4,331
W001,24-01-2026,1547,5.1,24,02:10:00,evening,4.34,0.84,3,437
W001,25-01-2026,345,3.2,6,03:10:00,afternoon,4.14,0.74,4,434
W001,26-01-2026,877,6.3,11,04:10:00,morning,4.39,0.75,2,362
W001,27-01-2026,504,3,5,05:10:00,morning,4.28,0.79,4,438
W001,28-01-2026,1018,5.7,15,06:10:00,morning,4.27,0.75,2,324
W001,29-01-2026,675,7.7,7,07:10:00,night,4,0.81,2,308
W001,30-01-2026,1410,7.4,22,08:10:00,evening,4.13,0.78,4,366
W001,31-01-2026,753,6.8,12,09:10:00,afternoon,4.22,0.71,4,407
W001,01-02-2026,200,4.4,5,10:10:00,evening,4.02,0.75,3,426
W001,02-02-2026,693,6.4,8,11:10:00,evening,4.36,0.8,4,415
W001,03-02-2026,938,7,13,12:10:00,afternoon,4.35,0.81,3,347
W001,04-02-2026,1299,4.7,16,13:10:00,night,4.02,0.75,3,405
W001,05-02-2026,396,7.8,5,14:10:00,evening,4.16,0.81,2,371
W001,06-02-2026,869,3.6,13,15:10:00,morning,4.49,0.73,3,341
W001,07-02-2026,1080,3.7,14,16:10:00,night,4.12,0.75,4,327
